pool	universe	strategy	modality	accuracy	ll_gap_p5	ll_gap_mean	low_margin_frac_t50	low_margin_frac_t100	n_singlets	min_dist	kl_min	kl_mean
EUR_EAS__ancestry_balanced__rep1	EUR_EAS	ancestry_balanced	atac	0.917397209532041	1.1549999999999998	26.15334140761674	0.8722917507737855	0.9776611492396716	7431.0	97.36529	1.6371381	2.099754
EUR_EAS__ancestry_balanced__rep1	EUR_EAS	ancestry_balanced	gex	0.8468946783553525	-0.82	9.393279452453765	0.9919906800640745	0.999563128003495	6867.0	97.36529	1.6371381	2.099754
EUR_EAS__greedy_maxmin__rep1	EUR_EAS	greedy_maxmin	atac	0.9182615137671317	1.35	27.459888395858545	0.8574694097082157	0.9736452870781229	7437.0	110.63905	2.113946	2.3574567
EUR_EAS__greedy_maxmin__rep1	EUR_EAS	greedy_maxmin	gex	0.8472650944561056	-0.69	9.70663562281723	0.9911233993015134	0.9995634458672875	6872.0	110.63905	2.113946	2.3574567
EUR_EAS__random__rep1	EUR_EAS	random	atac	0.9155451290282751	1.32	26.07346594740391	0.8737693863789615	0.9785569790964261	7415.0	99.50377	1.7098422	2.0664551
EUR_EAS__random__rep1	EUR_EAS	random	gex	0.8535621681689097	-0.9	9.347653857266687	0.9921987864778966	0.999711066165848	6922.0	99.50377	1.7098422	2.0664551
EUR_only__greedy_maxkl__rep1	EUR_only	greedy_maxkl	atac	0.9150512408939375	1.025	25.61730400755634	0.8737012548913777	0.9782755363648631	7411.0	100.5286	1.7452445	1.9332157
EUR_only__greedy_maxkl__rep1	EUR_only	greedy_maxkl	gex	0.8355352512655884	-0.85	8.930396872233697	0.9942460902921215	0.9995573915609324	6778.0	100.5286	1.7452445	1.9332157
EUR_only__greedy_maxmean__rep1	EUR_only	greedy_maxmean	atac	0.9187554019014693	1.24	26.41895712941809	0.8699099583389329	0.9758097029969091	7441.0	108.64622	2.0384786	2.250664
EUR_only__greedy_maxmean__rep1	EUR_only	greedy_maxmean	gex	0.8402271885417952	-0.88	9.439012182592103	0.9908997504770292	0.9997064435637751	6813.0	108.64622	2.0384786	2.250664
EUR_only__greedy_maxmin__rep1	EUR_only	greedy_maxmin	atac	0.9160390171626127	1.21	26.344065237902683	0.8715460304623265	0.9750640248011861	7419.0	109.311485	2.0635195	2.1981466
EUR_only__greedy_maxmin__rep1	EUR_only	greedy_maxmin	gex	0.8436844054821583	-0.8194999999999999	9.330901783104355	0.9929845074539608	0.9997076878105817	6842.0	109.311485	2.0635195	2.1981466
EUR_only__random__rep1	EUR_only	random	atac	0.9140634646252623	1.15	25.728012967715788	0.8762663784952046	0.9779818992300419	7403.0	101.336075	1.7733938	1.9739898
EUR_only__random__rep1	EUR_only	random	gex	0.8413384368440548	-0.84	9.15350154026698	0.991491858588822	0.9995599237201115	6817.0	101.336075	1.7733938	1.9739898
SAS_only__greedy_maxkl__rep1	SAS_only	greedy_maxkl	atac	0.9172737374984566	1.31	26.53761206084264	0.865123165971194	0.9756360209987885	7429.0	100.608154	1.7480078	1.970314
