pool	universe	strategy	modality	true_donor	n_cells	donor_accuracy	min_dist	mean_dist	kl_min	kl_mean
SAS_only__greedy_maxmean__rep1	SAS_only	greedy_maxmean	gex	HG02597	981	0.8063200815494393	113.26959	123.90059	2.2156625	2.6552427
SAS_only__greedy_maxmin__rep1	SAS_only	greedy_maxmin	atac	HG01589	1048	0.898854961832061	114.44212	123.11001	2.261772	2.62129
SAS_only__greedy_maxmin__rep1	SAS_only	greedy_maxmin	gex	HG01589	1048	0.7977099236641222	114.44212	123.11001	2.261772	2.62129
SAS_only__greedy_maxmin__rep2	SAS_only	greedy_maxmin	atac	HG01589	1048	0.8969465648854962	113.37989	121.64693	2.21998	2.5607607
SAS_only__greedy_maxmin__rep2	SAS_only	greedy_maxmin	gex	HG02694	982	0.8054989816700611	113.37989	121.64693	2.21998	2.5607607
SAS_only__greedy_maxmin__rep3	SAS_only	greedy_maxmin	atac	HG02694	1023	0.9032258064516129	113.19894	121.54801	2.2128997	2.5560174
SAS_only__greedy_maxmin__rep3	SAS_only	greedy_maxmin	gex	HG04152	1041	0.8251681075888568	113.19894	121.54801	2.2128997	2.5560174
SAS_only__random__rep1	SAS_only	random	atac	HG03850	1023	0.9090909090909091	104.3312	108.39236	1.879773	2.029949
SAS_only__random__rep1	SAS_only	random	gex	HG04035	989	0.7947421638018201	104.3312	108.39236	1.879773	2.029949
SAS_only__random__rep2	SAS_only	random	atac	HG02601	1048	0.8969465648854962	100.48383	106.14516	1.7436903	1.9468399
SAS_only__random__rep2	SAS_only	random	gex	NA21120	981	0.8032619775739042	100.48383	106.14516	1.7436903	1.9468399
SAS_only__random__rep3	SAS_only	random	atac	HG02694	1048	0.9083969465648855	103.06309	106.47886	1.8343545	1.9585029
SAS_only__random__rep3	SAS_only	random	gex	HG04156	981	0.8124362895005097	103.06309	106.47886	1.8343545	1.9585029
all_3_major__ancestry_balanced__rep1	all_3_major	ancestry_balanced	atac	NA18970	1023	0.9110459433040078	99.46356	117.08857	1.7084607	2.3773599
all_3_major__ancestry_balanced__rep1	all_3_major	ancestry_balanced	gex	NA20317	982	0.8004073319755601	99.46356	117.08857	1.7084607	2.3773599
all_3_major__greedy_maxmean__rep1	all_3_major	greedy_maxmean	atac	HG02977	1048	0.9131679389312977	109.15585	127.40916	2.057648	2.8152928
all_3_major__greedy_maxmean__rep1	all_3_major	greedy_maxmean	gex	HG00126	981	0.8318042813455657	109.15585	127.40916	2.057648	2.8152928
all_3_major__greedy_maxmin__rep1	all_3_major	greedy_maxmin	atac	HG00358	1023	0.906158357771261	113.63978	124.889465	2.2301688	2.7020056
all_3_major__greedy_maxmin__rep1	all_3_major	greedy_maxmin	gex	NA18879	981	0.8063200815494393	113.63978	124.889465	2.2301688	2.7020056
all_3_major__greedy_maxmin__rep2	all_3_major	greedy_maxmin	atac	HG00525	1016	0.9035433070866141	115.41231	123.96844	2.3002825	2.6629581
all_3_major__greedy_maxmin__rep2	all_3_major	greedy_maxmin	gex	HG02881	1041	0.8049951969260326	115.41231	123.96844	2.3002825	2.6629581
all_3_major__greedy_maxmin__rep3	all_3_major	greedy_maxmin	atac	HG02977	1048	0.9131679389312977	115.16944	123.1001	2.2906117	2.6237695
all_3_major__greedy_maxmin__rep3	all_3_major	greedy_maxmin	gex	HG01783	981	0.8124362895005097	115.16944	123.1001	2.2906117	2.6237695
all_3_major__random__rep1	all_3_major	random	atac	NA18873	981	0.9021406727828746	101.61693	115.1162	1.7832371	2.3013866
all_3_major__random__rep1	all_3_major	random	gex	HG02798	1041	0.6666666666666666	101.61693	115.1162	1.7832371	2.3013866
all_3_major__random__rep3	all_3_major	random	atac	HG01873	1023	0.9090909090909091	90.6587	114.803894	1.4193711	2.2981856
all_3_major__random__rep3	all_3_major	random	gex	HG02568	1016	0.7716535433070866	90.6587	114.803894	1.4193711	2.2981856
all_5__ancestry_balanced__rep1	all_5	ancestry_balanced	atac	HG02805	1048	0.9045801526717557	108.20813	116.167114	2.0220728	2.3377388
all_5__ancestry_balanced__rep1	all_5	ancestry_balanced	gex	HG00106	989	0.8109201213346815	108.20813	116.167114	2.0220728	2.3377388
all_5__ancestry_balanced__rep2	all_5	ancestry_balanced	atac	HG02061	981	0.9164118246687054	102.38652	113.70307	1.8103502	2.2424178
all_5__ancestry_balanced__rep2	all_5	ancestry_balanced	gex	NA19372	1023	0.7174975562072337	102.38652	113.70307	1.8103502	2.2424178
all_5__greedy_maxmean__rep1	all_5	greedy_maxmean	atac	HG02977	1048	0.9103053435114504	116.47746	130.41243	2.3429382	2.946183
all_5__greedy_maxmean__rep1	all_5	greedy_maxmean	gex	HG01589	982	0.8258655804480651	116.47746	130.41243	2.3429382	2.946183
all_5__greedy_maxmin__rep1	all_5	greedy_maxmin	atac	HG02977	1048	0.9064885496183206	118.321594	128.70529	2.4177144	2.8690188
all_5__greedy_maxmin__rep1	all_5	greedy_maxmin	gex	HG03837	989	0.839231547017189	118.321594	128.70529	2.4177144	2.8690188
all_5__random__rep1	all_5	random	atac	NA18608	981	0.9123343527013251	100.12492	111.40792	1.7312565	2.1506064
all_5__random__rep1	all_5	random	gex	HG02895	1041	0.8194044188280499	100.12492	111.40792	1.7312565	2.1506064
