pool	acc	p_sng	universe	strategy	min_dist	mean_dist	kl_min	heldout	p_donor	ll_gap_mean	ll_gap_p5	n_snps_med	err_per_1k	modality
SAS_only__adversarial_mindist__rep3	0.8371403877021855	0.8376342758365231	SAS_only	adversarial_mindist	99.79979705810548	102.68324279785156	1.381873369216919	True	0.9994103773584906	9.43712853773585	-0.69	2776.0	0.589622641509413	gex
SAS_only__greedy_maxkl__rep1	0.848623286825534	0.8494875910606248	SAS_only	greedy_maxkl	114.44212341308594	123.1100082397461	1.7993216514587402	False	0.9989825581395348	9.646363372093022	-0.7704999999999995	2807.0	1.0174418604651514	gex
SAS_only__greedy_maxkl__rep2	0.844548709717249	0.845166069885171	SAS_only	greedy_maxkl	113.37989044189452	121.6469268798828	1.6850566864013672	True	0.9992695398100804	9.574207450693937	-0.71	2800.0	0.7304601899196239	gex
SAS_only__greedy_maxkl__rep3	0.8615878503518953	0.8629460427213236	SAS_only	greedy_maxkl	113.19893646240234	121.54801177978516	1.697551965713501	True	0.9984260981542424	9.546999570754041	-0.85	2790.0	1.5739018457575638	gex
SAS_only__greedy_maxmean__rep1	0.8446721817508335	0.8455364859859242	SAS_only	greedy_maxmean	113.26959	123.90059	2.2156625	False	0.9989778037383178	9.884551693925234	-0.72	2773.0	1.0221962616822067	gex
SAS_only__greedy_maxmean__rep2	0.8330658105939005	0.8335596987282381	SAS_only	greedy_maxmean	111.04504	124.18232	2.1294885	True	0.9994074951858983	9.958640201451637	-0.79	2791.0	0.5925048141016687	gex
SAS_only__greedy_maxmean__rep3	0.841708852944808	0.8426966292134831	SAS_only	greedy_maxmean	111.78998	123.88989	2.1581557	True	0.9988278388278389	9.98323956043956	-0.79	2785.0	1.1721611721611236	gex
SAS_only__greedy_maxmin__rep1	0.8281269292505248	0.8291147055191999	SAS_only	greedy_maxmin	114.44212	123.11001	2.261772	False	0.9988086373790023	9.581788533134773	-0.79	2782.0	1.1913626209977268	gex
SAS_only__greedy_maxmin__rep2	0.8267687368810964	0.8271391529818496	SAS_only	greedy_maxmin	113.37989	121.64693	2.21998	False	0.999552171965965	9.953221376324825	-0.87	2781.0	0.4478280340349805	gex
SAS_only__greedy_maxmin__rep3	0.8426966292134831	0.843931349549327	SAS_only	greedy_maxmin	113.19894	121.54801	2.2128997	False	0.9985369422092173	9.788665691294806	-0.96	2783.0	1.463057790782707	gex
SAS_only__random__rep1	0.8308433139893814	0.8314606741573034	SAS_only	random	104.3312	108.39236	1.879773	False	0.9992574992574993	9.373514998514999	-0.86	2809.5	0.7425007425007069	gex
SAS_only__random__rep2	0.8397333004074578	0.8404741326089641	SAS_only	random	100.48383	106.14516	1.7436903	False	0.999118554429264	9.032421037167621	-0.84	2799.0	0.8814455707359947	gex
SAS_only__random__rep3	0.8488702308927027	0.8498580071613779	SAS_only	random	103.06309	106.47886	1.8343545	False	0.9988377161121604	9.414737759697806	-0.83	2787.0	1.1622838878395658	gex
all_3_major__ancestry_balanced__rep1	0.8422027410791456	0.8430670453142364	all_3_major	ancestry_balanced	99.46356	117.08857	1.7084607	False	0.9989748096074985	10.669894551845342	-0.68	2787.0	1.025190392501485	gex
all_3_major__ancestry_balanced__rep2	0.8468946783553525	0.8475120385232745	all_3_major	ancestry_balanced	95.77578	117.84472	1.5841211	True	0.9992715617715617	11.007041083916084	-0.6	2790.5	0.7284382284382662	gex
all_3_major__greedy_maxmean__rep1	0.8588714656130386	0.8592418817137918	all_3_major	greedy_maxmean	109.15585	127.40916	2.057648	False	0.9995689035781004	11.219070268716768	-0.6209999999999997	2778.0	0.43109642189964603	gex
all_3_major__greedy_maxmean__rep2	0.8594888257809606	0.8598592418817138	all_3_major	greedy_maxmean	109.15585	127.56688	2.057648	True	0.9995692130959218	11.040784032165423	-0.6284999999999996	2780.0	0.430786904078162	gex
all_3_major__greedy_maxmean__rep3	0.859612297814545	0.8601061859488826	all_3_major	greedy_maxmean	104.78072	126.78043	1.8960065	True	0.9994257823715188	11.240544071202986	-0.48	2781.5	0.5742176284811995	gex
all_3_major__greedy_maxmin__rep1	0.8494875910606248	0.8498580071613779	all_3_major	greedy_maxmin	113.63978	124.889465	2.2301688	False	0.9995641435420601	11.368776696208048	-0.6289999999999998	2783.0	0.43585645793986494	gex
all_3_major__greedy_maxmin__rep2	0.8387455241387826	0.8389924682059513	all_3_major	greedy_maxmin	115.41231	123.96844	2.3002825	False	0.9997056659308315	11.840147167034585	-0.66	2784.0	0.29433406916845595	gex
all_3_major__greedy_maxmin__rep3	0.8473885664896901	0.8477589825904432	all_3_major	greedy_maxmin	115.16944	123.1001	2.2906117	False	0.999563064375182	11.705371395281096	-0.46	2775.0	0.4369356248179468	gex
all_3_major__random__rep1	0.8210890233362144	0.8213359674033831	all_3_major	random	101.61693	115.1162	1.7832371	False	0.9996993385447985	11.202295550210463	-0.65	2781.5	0.3006614552014675	gex
all_3_major__random__rep2	0.8441782936164959	0.8450425978515866	all_3_major	random	104.96666	116.553856	1.9027414	True	0.9989772063120982	10.711149912331969	-0.72	2779.0	1.022793687901813	gex
all_3_major__random__rep3	0.8389924682059513	0.8389924682059513	all_3_major	random	90.6587	114.803894	1.4193711	False	1.0	11.246573951434879	-0.74	2783.0	0.0	gex
all_5__ancestry_balanced__rep1	0.8438078775157427	0.8441782936164959	all_5	ancestry_balanced	108.20813	116.167114	2.0220728	False	0.9995612110574813	11.288633903758958	-0.68	2781.0	0.4387889425186975	gex
all_5__ancestry_balanced__rep2	0.8165205580935918	0.8166440301271762	all_5	ancestry_balanced	102.38652	113.70307	1.8103502	False	0.9998488055639553	10.880718173571214	-0.7334999999999996	2774.5	0.1511944360447215	gex
all_5__ancestry_balanced__rep3	0.8544264724040005	0.8550438325719225	all_5	ancestry_balanced	98.90399	115.023	1.6892918	True	0.9992779783393502	10.858054873646209	-0.57	2781.0	0.7220216606498298	gex
all_5__greedy_maxmean__rep1	0.8450425978515866	0.8454130139523398	all_5	greedy_maxmean	116.47746	130.41243	2.3429382	False	0.9995618519059442	11.52787498174383	-0.57	2769.0	0.43814809405584576	gex
all_5__greedy_maxmean__rep2	0.8408445487097173	0.8414619088776392	all_5	greedy_maxmean	119.23506	131.3716	2.455189	True	0.9992663242846662	11.555592076302274	-0.7	2786.0	0.7336757153337814	gex
all_5__greedy_maxmean__rep3	0.8444252376836646	0.8449191258180022	all_5	greedy_maxmean	119.995834	131.3383	2.4866195	True	0.9994154610550928	11.64213356714891	-0.59	2792.0	0.5845389449071758	gex
