pool	universe	strategy	modality	bottleneck_donor	btl_n_cells	btl_ll_gap	min_dist	mean_dist	kl_min	kl_mean
EUR_AFR__ancestry_balanced__rep1	EUR_AFR	ancestry_balanced	gex	NA12891	888	9.610236486486485	102.610916	115.37739	1.8182942	2.309016
EUR_AFR__ancestry_balanced__rep3	EUR_AFR	ancestry_balanced	atac	HG01896	915	26.868655737704916	103.43114	115.73577	1.8474793	2.3245277
EUR_AFR__ancestry_balanced__rep3	EUR_AFR	ancestry_balanced	gex	HG02232	819	9.32010989010989	103.43114	115.73577	1.8474793	2.3245277
EUR_AFR__greedy_maxmean__rep1	EUR_AFR	greedy_maxmean	atac	HG00096	936	27.289690170940172	111.754196	125.613	2.1567743	2.735348
EUR_AFR__greedy_maxmean__rep1	EUR_AFR	greedy_maxmean	gex	HG00096	874	10.001556064073228	111.754196	125.613	2.1567743	2.735348
EUR_AFR__greedy_maxmean__rep2	EUR_AFR	greedy_maxmean	atac	HG00117	931	26.138023630504833	109.128365	124.636955	2.0566115	2.6937842
EUR_AFR__greedy_maxmean__rep2	EUR_AFR	greedy_maxmean	gex	HG00096	857	9.951166861143523	109.128365	124.636955	2.0566115	2.6937842
EUR_AFR__greedy_maxmean__rep3	EUR_AFR	greedy_maxmean	atac	NA12282	967	27.30145811789038	110.054535	125.45805	2.0916684	2.7302349
EUR_AFR__greedy_maxmean__rep3	EUR_AFR	greedy_maxmean	gex	NA12282	896	9.817433035714286	110.054535	125.45805	2.0916684	2.7302349
EUR_AFR__greedy_maxmin__rep1	EUR_AFR	greedy_maxmin	atac	HG02977	939	26.573173588924387	114.328476	122.84393	2.257282	2.6146286
EUR_AFR__greedy_maxmin__rep1	EUR_AFR	greedy_maxmin	gex	HG01628	862	10.518781902552204	114.328476	122.84393	2.257282	2.6146286
EUR_AFR__greedy_maxmin__rep3	EUR_AFR	greedy_maxmin	atac	NA12282	966	26.856024844720494	114.82596	123.18687	2.2769692	2.6287215
EUR_AFR__greedy_maxmin__rep3	EUR_AFR	greedy_maxmin	gex	HG00358	890	9.922955056179775	114.82596	123.18687	2.2769692	2.6287215
EUR_AFR__random__rep1	EUR_AFR	random	atac	NA19035	894	27.783243847874722	98.35649	112.82521	1.6706406	2.213658
EUR_AFR__random__rep1	EUR_AFR	random	gex	NA20532	831	10.114296028880865	98.35649	112.82521	1.6706406	2.213658
EUR_EAS__ancestry_balanced__rep1	EUR_EAS	ancestry_balanced	atac	HG01817	923	24.19827735644637	97.36529	110.09422	1.6371381	2.099754
EUR_EAS__ancestry_balanced__rep1	EUR_EAS	ancestry_balanced	gex	NA12749	869	8.666731875719218	97.36529	110.09422	1.6371381	2.099754
EUR_EAS__ancestry_balanced__rep2	EUR_EAS	ancestry_balanced	atac	NA20811	932	24.662296137339055	98.44795	109.95892	1.6737492	2.095221
EUR_EAS__ancestry_balanced__rep2	EUR_EAS	ancestry_balanced	gex	NA18526	866	8.652170900692841	98.44795	109.95892	1.6737492	2.095221
EUR_EAS__greedy_maxmean__rep1	EUR_EAS	greedy_maxmean	atac	HG00256	894	24.538736017897094	107.912	119.48134	2.0110204	2.4725697
EUR_EAS__greedy_maxmean__rep1	EUR_EAS	greedy_maxmean	gex	HG00256	817	9.046376988984088	107.912	119.48134	2.0110204	2.4725697
EUR_EAS__greedy_maxmean__rep2	EUR_EAS	greedy_maxmean	atac	NA20769	915	24.689846994535518	103.39729	118.65934	1.8462703	2.4411514
EUR_EAS__greedy_maxmean__rep2	EUR_EAS	greedy_maxmean	gex	HG00096	870	9.072620689655173	103.39729	118.65934	1.8462703	2.4411514
EUR_EAS__greedy_maxmin__rep1	EUR_EAS	greedy_maxmin	atac	HG01781	920	25.151141304347824	110.63905	116.75554	2.113946	2.3574567
EUR_EAS__greedy_maxmin__rep1	EUR_EAS	greedy_maxmin	gex	HG01781	879	8.770773606370875	110.63905	116.75554	2.113946	2.3574567
EUR_EAS__greedy_maxmin__rep2	EUR_EAS	greedy_maxmin	atac	HG01781	941	25.204378320935174	109.49429	113.50211	2.0704272	2.226271
EUR_EAS__greedy_maxmin__rep2	EUR_EAS	greedy_maxmin	gex	HG00525	882	9.02967120181406	109.49429	113.50211	2.0704272	2.226271
EUR_EAS__random__rep1	EUR_EAS	random	atac	NA18582	905	23.241834254143647	99.50377	109.29115	1.7098422	2.0664551
EUR_EAS__random__rep1	EUR_EAS	random	gex	NA18582	813	8.108610086100862	99.50377	109.29115	1.7098422	2.0664551
EUR_EAS__random__rep2	EUR_EAS	random	atac	HG00689	933	23.73384780278671	93.28451	108.98568	1.5027822	2.060164
EUR_EAS__random__rep2	EUR_EAS	random	gex	NA19087	888	8.46429054054054	93.28451	108.98568	1.5027822	2.060164
EUR_EAS__random__rep3	EUR_EAS	random	atac	HG00684	941	22.113846971307122	100.76209	110.09599	1.7533611	2.0991127
EUR_EAS__random__rep3	EUR_EAS	random	gex	NA18562	803	7.894196762141967	100.76209	110.09599	1.7533611	2.0991127
EUR_only__adversarial_family__rep1	EUR_only	adversarial_family	atac	NA10838	900	12.969533333333333	74.20242309570312	101.90351104736328	0.7649052739143372	1.4536033868789673
EUR_only__adversarial_family__rep1	EUR_only	adversarial_family	gex	NA10838	824	4.742269417475728	74.20242309570312	101.90351104736328	0.7649052739143372	1.4536033868789673
EUR_only__adversarial_family__rep2	EUR_only	adversarial_family	atac	NA12877	885	12.869627118644068	75.80896759033203	101.97260284423828	0.8036584258079529	1.458475947380066
EUR_only__adversarial_family__rep2	EUR_only	adversarial_family	gex	NA12877	797	5.0409661229611045	75.80896759033203	101.97260284423828	0.8036584258079529	1.458475947380066
EUR_only__adversarial_family__rep3	EUR_only	adversarial_family	atac	NA10860	884	13.328902714932127	74.65252685546875	102.5333023071289	0.782111644744873	1.4711860418319702
EUR_only__adversarial_family__rep3	EUR_only	adversarial_family	gex	NA10861	907	4.95941565600882	74.65252685546875	102.5333023071289	0.782111644744873	1.4711860418319702
EUR_only__adversarial_mindist__rep1	EUR_only	adversarial_mindist	atac	HG00357	930	23.138440860215052	96.70574188232422	99.81437683105467	1.262070655822754	1.3686530590057373
EUR_only__adversarial_mindist__rep1	EUR_only	adversarial_mindist	gex	NA12761	856	8.466051401869159	96.70574188232422	99.81437683105467	1.262070655822754	1.3686530590057373
EUR_only__adversarial_mindist__rep2	EUR_only	adversarial_mindist	atac	NA12718	905	22.842983425414367	95.7757797241211	99.21085357666016	1.2756993770599363	1.37679922580719
EUR_only__adversarial_mindist__rep2	EUR_only	adversarial_mindist	gex	NA20818	840	7.9779880952380955	95.7757797241211	99.21085357666016	1.2756993770599363	1.37679922580719
EUR_only__greedy_maxkl__rep1	EUR_only	greedy_maxkl	atac	HG00100	928	23.88394396551724	109.31148529052734	112.7927017211914	1.6305500268936155	1.733123779296875
EUR_only__greedy_maxkl__rep1	EUR_only	greedy_maxkl	gex	HG00101	869	7.904315304948216	109.31148529052734	112.7927017211914	1.6305500268936155	1.733123779296875
EUR_only__greedy_maxkl__rep2	EUR_only	greedy_maxkl	atac	HG00100	931	23.04796992481203	109.9408950805664	113.56157684326172	1.6378905773162842	1.780522346496582
